Name,Title,Description,Stock,SEO Title,SEO Description,SEO Keywords,SEO_url,Fixed Name,Fixed Title,SEO Slug,Tags,Alt Text,Short Description,Etsy Bullets,Instagram Caption Short,Instagram Caption Long,Instagram Hashtags
KALI BHAIRAV MANDALA,KALI BHAIRAV MANDALA,"The artist, Alex Anahart, is known for his stunning psychedelic and trippy artwork. His work is inspired by his travels and experiences, and he has a unique ability to capture the essence of a place or experience in his art. The Kali Bhairav Mandala tapestry is a great example of this, as it perfectly captures the beauty and tranquility of the Kali Bhairav temple in Mandrem.

The Kali Bhairav Mandala blacklight fluorescent tapestry is a stunning work of art created by the talented artist Alex Anahart. This trippy psychedelic piece is inspired by the Kali Bhairav temple in Mandrem, Goa, which the artist visited in 2020. Anahart was so taken by the beauty and tranquility of the temple that he felt compelled to create a piece of art that captured its essence.

The Kali Bhairav Mandala tapestry is a beautiful representation of the union of Kali and Bhairava. The mandala design is intricate and detailed, featuring bold lines and vibrant colors that are sure to catch the eye. The use of blacklight and fluorescent colors gives the piece a trippy and mesmerizing effect that is perfect for anyone who loves psychedelic art.

The Kali Bhairav Mandala tapestry is an ideal addition to any home decor. Its vibrant colors and intricate design make it a standout piece that is sure to impress anyone who sees it. Whether you're looking to create a tranquil and peaceful atmosphere in your home or you're looking to add some psychedelic elements to your decor, this tapestry is a great choice.


The Kali Bhairav Mandala blacklight fluorescent tapestry is a stunning work of art that is sure to impress anyone who sees it. ",☀️ 75x75 cm - 75 $,"Psychedelic blacklight mandala art ""KALI BHAIRAV Mandala"" Trippy tapestry Indian","100 % UV-Active / Eco-friendly synthetic silk fabric fluorescent psychedelic tapestry.
Active lighting under ultraviolet, blacklight, neon and LED light.
Bright and deep colored in the daylight. Highly detailed precise composition.

Backdrop resistant to any washing, rain, snow and dust.
Eco-friendly printing, non-toxic, odorless, suitable for decoration in enclosed spaces and open air.","Kali mantra Bhairav temple, fluorescent canvas, neon shades, symbolism, unique artwork, harmony, inner balance, handmade",kali-bhairav-mandala,,,,,,,,,,
DREAMCATCHERS,DREAMCATCHERS,"Psychedelic art is known for its vibrant colors, trippy designs, and its ability to transport viewers to another world. One example of this type of art is the ""Dreamcatchers Owls"" UV blacklight tapestry. This stunning piece of art features a mystical composition with nocturnal and calm elements that can lull viewers into a magical illusion. The owl, known for its wise demeanor and nocturnal hunting habits, is a central theme in this piece, and is considered a guardian of the boundary between dreams and reality.

The ""Dreamcatchers Owls"" UV blacklight tapestry is perfect for a variety of settings. It is an ideal addition to any bedroom, as it can create a calm and peaceful atmosphere that is perfect for rest and relaxation. Additionally, it is a great option for those who are looking to add some mystical and otherworldly elements to their home decor. The tapestry's trippy design and fluorescent colors make it an excellent choice for parties or other events where you want to create a unique and memorable atmosphere.

The use of blacklight and UV gobelin in this piece creates a stunning effect that is sure to impress. The fluorescent colors pop and come to life under the blacklight, creating a trippy and mesmerizing effect that is perfect for any psychedelic-themed event. The design features dreamcatchers, a symbol that has been used for centuries to ward off bad dreams and protect the sleeper from negative energies. The owls, with their wise and mystical appearance, add an extra layer of meaning to this piece, making it a truly special work of art.

The ""Dreamcatchers Owls"" UV blacklight tapestry was created by Anahart, an artist who specializes in psychedelic and trippy art. Anahart's work is known for its vibrant colors, intricate designs, and its ability to transport viewers to other worlds. This piece is no exception, and is sure to impress anyone who sees it.

 If you are a fan of psychedelic or trippy art, then the ""Dreamcatchers Owls"" UV blacklight tapestry is definitely worth checking out.",☀️ 2.3x1.55 m - 227 $,"Blacklight tapestry ""Owls DreamCatcher"" Psychedelic party decorations Home trip","100 % UV-Active / Eco-friendly synthetic silk fabric fluorescent psychedelic tapestry.
Active lighting under ultraviolet, blacklight, neon and LED light.
Bright and deep colored in the daylight. Highly detailed precise composition.

Backdrop resistant to any washing, rain, snow and dust.
Eco-friendly printing, non-toxic, odorless, suitable for decoration in enclosed spaces and open air.","owl, wisdom, mystery, bright colors, art, composition, magic, interior, details, energy",dreamcatchers,,,,,,,,,,
DRAGON TALES,DRAGON TALES,"☘ What does it mean? Let's think about it a little. Dragons, mysterious and powerful creatures of fantasy and science fiction, have captivated the imaginations of readers and viewers for centuries. From folk tales to literature, dragons have become an integral part of our culture.

🍄 Ancient cultures from Babylon to the Greeks and Chinese have their own versions of dragons, each with their unique properties and stories. In Chinese mythology, for example, dragons are symbols of strength and wealth, while in Western culture, they are often perceived as fearsome creatures that must be defeated.

🌙🌞 Let's take a look at some of the most iconic dragons in literature and film. From Smaug the dragon in J.R.R. Tolkien's ""The Hobbit"" to the terrifying Drogon in HBO's ""Game of Thrones,"" dragons have become an integral part of the fantasy genre. Specifically in this piece of work, there is a reference to the modern series ""Carnival Row,"" as well as to Chinese mythology in the form of the dragon's stylistics, ancient Greek mythology with the Caduceus (a symbol of the key to secret knowledge, enlightenment and vitality) that they guard, and Hindu philosophy in the form of the Mother Goddess who crowns this composition. She is hardly noticeable at first, hidden behind the density of the Tree of Life branches. However, she is the source of all material worlds, all creations, currents, all knowledge, philosophies, fairy tales, legends, myths, and even modern ones. That's why this work is called ""Dragon Tales"". ✨",☀️ 1.5x1 m - 115 $,"Printable wall art ""Dragon Tales"" blacklight tapestry Acid poster Psychedelic UV","100 % UV-Active / Eco-friendly synthetic silk fabric fluorescent psychedelic tapestry.
Active lighting under ultraviolet, blacklight, neon and LED light.
Bright and deep colored in the daylight. Highly detailed precise composition.

Backdrop resistant to any washing, rain, snow and dust.
Eco-friendly printing, non-toxic, odorless, suitable for decoration in enclosed spaces and open air.","dragon tales, painting, myths, pop culture, vibrant colors, art, handmade, interior, magic, mystery",dragon-tales,,,,,,,,,,
BOOM SHIVA,BOOM SHIVA,"If you're looking for a piece of art that captures the essence of the psychedelic experience, then look no further than the ""BOOM SHIVA"" composition. Created by an artist who has experienced both the northern and southern hemispheres of the world, this artwork is a fusion of cultures, ideas and mindsets.

The mandala print is a staple of psychedelic art, with its intricate and repetitive designs often used to represent the infinite nature of the universe. In this particular composition, the mandala is the centerpiece of the artwork, drawing the viewer in with its hypnotic patterns and shapes.

The use of vibrant and fluorescent colors also makes this composition perfect for blacklight tapestries, as the colors come alive under UV light. This piece is not only a work of art but also a statement piece for your home or party space.

The title ""BOOM SHIVA"" pays homage to the Hindu god Shiva, who is often associated with psychedelic experiences and is known as the lord of the dance. The composition captures the energy and vibrancy of the deity, making it a perfect addition to any Goa trance party decor.

This artwork is not just visually stimulating but also reflects the artist's personal journey and growth. It captures the essence of change, transformation, and evolution that is the hallmark of the psychedelic experience. It is a celebration of life, creativity, and the power of the mind to imagine, create and inspire.

If you're a fan of psychedelic art or simply looking for a unique piece of home decor, ""BOOM SHIVA"" is a must-have. It's a statement piece that will leave a lasting impression on anyone who sees it, reminding them of the infinite possibilities that exist within themselves and the universe.",☀️ 2.3x1.55 m - 227 $,"Trippy art ""BOOM SHIVA"" Home decor Wall art Mandala print blacklight tapestry UV","100 % UV-Active / Eco-friendly synthetic silk fabric fluorescent psychedelic tapestry.
Active lighting under ultraviolet, blacklight, neon and LED light.
Bright and deep colored in the daylight. Highly detailed precise composition.

Backdrop resistant to any washing, rain, snow and dust.
Eco-friendly printing, non-toxic, odorless, suitable for decoration in enclosed spaces and open air.","Бом Шива, флуоресцентные краски, природа, рассвет, синтетический шелк, искусство, интерьер, вдохновение, энергия",boom-shiva,,,,,,,,,,
SHAMANIC SUN,SHAMANIC SUN,"Shamanic sun is sympol of peruvian mysticism. It is a spiritual practice that has been practiced for centuries in Peru. It is based on the belief that the sun is a powerful force that can be used to heal, protect, and bring good fortune. The practice involves rituals, offerings, and ceremonies to honor the sun and ask for its blessings.

The most important figure in shamanic sun peruvian mysticism is the shaman, who to be able to communicate with the spirit world and heal the sick. Offerings are made to the sun, to ask for its blessings. The shaman also holds leaves and his gaze to the magical Apus of Ausangate, which are believed to be powerful spiritual forces.

The practice of shamanic sun peruvian mysticism also involves journeying to sacred sites and temples, such as Machu Picchu, Cuzco, Ollantaytambo, and Sacsayhuamán. These sites are believed to be powerful places of spiritual energy, and are often used for rituals and ceremonies.

Overall, shamanic sun peruvian mysticism is a spiritual practice that has been practiced for centuries in Peru. It involves rituals, offerings, and ceremonies to honor the sun and ask for its blessings, as well as journeying to sacred sites and using specialy for healing and communication with the spirit world. It is believed to be a powerful tool for healing and communicating with the spirit world.",☀️ 2.75x1.55 m - 227 $,"Peruvian blacklight tapestry ""Shamanic Sun"" ayauasca trip banner Shipibo conibo","100 % UV-Active / Eco-friendly synthetic silk fabric fluorescent psychedelic tapestry.
Active lighting under ultraviolet, blacklight, neon and LED light.
Bright and deep colored in the daylight. Highly detailed precise composition.

Backdrop resistant to any washing, rain, snow and dust.
Eco-friendly printing, non-toxic, odorless, suitable for decoration in enclosed spaces and open air.","Shamanic Sun, abstraction, graphics, bright colors, art, interior, inspiration, positive emotions",shamanic-sun,,,,,,,,,,
SUMMERTIME,SUMMERTIME,"""Dance Of Butterfly . Summertime: A Symbolic Tale of Life's Journey""

The fluorescent composition ""Dance Of Butterfly"" is an enchanting masterpiece that takes us on a symbolic journey of life. The painting portrays moths flying towards a bright light, but they are unsure whether it is a source of life or a destructive force leading them to their demise in a bonfire.

The artwork depicts the delicate beauty of butterflies and moths, as they gracefully dance in the air, drawn to the luminous light that illuminates the summer night. The vibrant colors and intricate details of the painting are a true testament to the beauty and fragility of life.

The moths, in their pursuit of light, represent the journey of life, where we are constantly striving towards something that we perceive as positive, yet it may lead us down a path of uncertainty and confusion. The painting serves as a reminder that the journey of life is not always straightforward and requires careful consideration and reflection to find one's true path.

The artwork's use of fluorescent colors and black background creates a mesmerizing effect, drawing the viewer into the painting's mystical world. The painting evokes a sense of wonder and awe, as we contemplate the moths' journey and the potential outcomes of their pursuit of the light.

In conclusion, ""Butterfly Dance. Summertime"" is a profound and captivating painting that offers a symbolic representation of life's journey. The painting invites us to reflect on our own lives and the paths we choose to take, reminding us of the delicate balance between light and darkness and the importance of finding our true purpose. This painting is a perfect addition to any art collection or space, serving as a beautiful and thought-provoking reminder of life's journey.",☀️ 1.5x1 m - 115 $,"Blacklight decor ""Dance of Butterfly"" Tapestry decor Home poster Trippy art acid","100 % UV-Active / Eco-friendly synthetic silk fabric fluorescent psychedelic tapestry.
Active lighting under ultraviolet, blacklight, neon and LED light.
Bright and deep colored in the daylight. Highly detailed precise composition.

Backdrop resistant to any washing, rain, snow and dust.
Eco-friendly printing, non-toxic, odorless, suitable for decoration in enclosed spaces and open air.","Butterfly Dance, painting, art, lightness, inspiration, interior, handmade, uniqueness, harmony",summertime,,,,,,,,,,
ROYAL COBRA,ROYAL COBRA,"The visionary artwork ""Royal Cobra"" is a beautiful and intricate composition that features snakes, a powerful symbol of wisdom and enlightenment. The painting showcases a royal cobra wrapping around the body of a figure, reminiscent of the eternal companions of Shiva.

The artwork's depiction of the snakes as defenders of a pure mind is a central theme. The cobra, in many cultures, is seen as a symbol of rebirth and transformation. In Hindu mythology, the snake is believed to represent the Kundalini energy, which is the energy that lies dormant at the base of the spine until awakened through spiritual practices. The Kundalini energy is said to rise up through the chakras, leading to spiritual enlightenment and the realization of the true self.

The royal cobra symbolizes power, protection, and transformation, as well as the ability to navigate through the challenges of life with grace and wisdom.

The use of vibrant colors, particularly shades of blue and green, in the composition add to the mystical and spiritual essence of the artwork. The colors evoke a sense of tranquility and calmness, inviting the viewer to embark on a journey of spiritual self-discovery.

""Royal Cobra"" is a powerful and thought-provoking visionary artwork that showcases the symbolism of the snake as a guide towards spiritual enlightenment. 

 

Acid poster ""Royal Cobra"" Blacklight tapestry Wall art trippy gobelin UV active fluorescent psychedelic backdrop for rave party by Anahart",☀️ 110x75 cm - 85 $,"Acid poster ""Royal Cobra"" Blacklight tapestry Wall art trippy gobelin UV active","100 % UV-Active / Eco-friendly synthetic silk fabric fluorescent psychedelic tapestry.
Active lighting under ultraviolet, blacklight, neon and LED light.
Bright and deep colored in the daylight. Highly detailed precise composition.

Backdrop resistant to any washing, rain, snow and dust.
Eco-friendly printing, non-toxic, odorless, suitable for decoration in enclosed spaces and open air.","king cobra, art, contrast, innocence, bright colors, dynamics, harmony, interior, handmade, original concept",royal-cobra,,,,,,,,,,
THAI CHILL,THAI CHILL,"The art composition titled ""Thai Chill"" is a visual representation of the spiritual and cultural traditions of Thailand. The artwork features a monk sitting in a meditative pose similar to that of the Buddha, surrounded by various spiritual symbols.

One of the central themes of the painting is the depiction of snakes, dragons, and the flower of life. In Thai culture, these symbols represent power, protection, and enlightenment. The snakes in the painting are shown as they intertwine around the monk, symbolizing the eternal cycle of life, death, and rebirth. The dragon, a legendary creature in Thai mythology, is seen as a protector and symbol of good luck. The flower of life, which is a sacred geometrical symbol, represents the interconnectedness of all living things.

The color purple dominates the artwork, which adds to its overall spiritual and mystical aura. In Thai culture, purple is often associated with royalty, wisdom, and spiritual awareness. The use of purple in this composition conveys a sense of peace, calmness, and inner reflection.

The monk depicted in the painting is seen as a symbol of spiritual awakening and enlightenment. He is sitting in a meditative pose with his eyes closed, and his hands resting on his lap. The monk's serene expression and peaceful demeanor invite the viewer to contemplate the spiritual essence of the artwork.

The composition is a beautiful fusion of Thai culture and spirituality, depicted through the use of vivid colors and intricate details. It is a visual representation of the profound spiritual traditions of Thailand, which have been passed down from generation to generation.

The monk depicted in the painting serves as a symbol of spiritual awakening and enlightenment, inviting the viewer to embark on their own journey towards inner peace and understanding.

 

Psychedelic art ""Thai Chill"" Home decor Art print Uv reaction Yoga Meditation poster Psychedelic tapestry Buddha poster",☀️ 75x50 cm - 57 $,"Psychedelic art ""Thai Chill"" Home decor Art print Uv reaction Yoga Meditation","100 % UV-Active / Eco-friendly synthetic silk fabric fluorescent psychedelic tapestry.
Active lighting under ultraviolet, blacklight, neon and LED light.
Bright and deep colored in the daylight. Highly detailed precise composition.

Backdrop resistant to any washing, rain, snow and dust.
Eco-friendly printing, non-toxic, odorless, suitable for decoration in enclosed spaces and open air.","Thai chill, fluorescent shades, Buddhist traditions, painting, interior, tranquility, peace, bright colors",thai-chill,,,,,,,,,,
SHRI YANTRA,SHRI YANTRA,"Sri Yantra UV Reactive Tapestry

A sacred geometric portal glowing under ultraviolet light.
This fluorescent Sri Yantra tapestry transforms any space into a mystical atmosphere of meditation, psytrance, and deep inner exploration.

Printed with vibrant UV-reactive colors, the design comes alive under blacklight — revealing hidden depth, symmetry, and energy. Perfect for festivals, chill spaces, yoga studios, meditation rooms, psychedelic décor, and visionary art lovers.

The Sri Yantra is an ancient symbol of cosmic harmony, consciousness, and spiritual balance. Combined with fluorescent art, it creates a powerful visual experience both in daylight and under UV light.

• UV / Blacklight reactive
• High detail fluorescent print
• Psychedelic sacred geometry artwork
• Ideal for festivals, meditation, yoga & trance culture
• Creates immersive glowing atmosphere",☀️ 1x1 m - 95 $,"Blacklight decor ""Shree yantra"" Tapestry decor Home poster Trippy art acid","100 % UV-Active / Eco-friendly synthetic silk fabric fluorescent psychedelic tapestry.
Active lighting under ultraviolet, blacklight, neon and LED light.
Bright and deep colored in the daylight. Highly detailed precise composition.

Backdrop resistant to any washing, rain, snow and dust.
Eco-friendly printing, non-toxic, odorless, suitable for decoration in enclosed spaces and open air.","Sri Yantra, fluorescent canvas, neon shades, symbolism, unique artwork, harmony, inner balance, handmade",shri-yantra,,,,,,,,,,
DURGA,DURGA,"UV Reactive Durga Tapestry

This artwork depicts Durga — a symbol of strength, creativity, and divine energy — in vivid, saturated colors that come alive under ultraviolet light. The fluorescent design transforms with changing illumination, creating a dynamic visual experience filled with depth and movement.

Printed on lightweight synthetic silk, the tapestry carries an airy, flowing presence while preserving sharp details and rich color intensity. Every element highlights the precision and artistry of the work, making it both a spiritual and decorative centerpiece.

Perfect for psychedelic spaces, meditation rooms, yoga studios, festivals, and visionary interiors, this piece radiates powerful energy and creative inspiration. The original handmade artwork gives the tapestry a unique character and special artistic value.

• UV / Blacklight reactive
• Fluorescent visionary art
• Lightweight synthetic silk fabric
• Bright detailed print
• Sacred feminine energy & psychedelic décor
• Ideal for festivals, meditation, yoga & trance culture",☀️ 110x75 cm - 85 $,Durga painting: strength and creativity in vivid colors,"100 % UV-Active / Eco-friendly synthetic silk fabric fluorescent psychedelic tapestry.
Active lighting under ultraviolet, blacklight, neon and LED light.
Bright and deep colored in the daylight. Highly detailed precise composition.

Backdrop resistant to any washing, rain, snow and dust.
Eco-friendly printing, non-toxic, odorless, suitable for decoration in enclosed spaces and open air.","Durga, painting, fluorescent canvas, bright colors, art, interior, originality, handmade, inspiration",durga,,,,,,,,,,
