Name,Title,Description,Price,Stock,SEO Title,SEO Description,SEO Keywords
SARASVATI,Индийская коллекция. Сарасвати.,"Флуоресцентное полотно с изображением богини Сарасвати - это первая моя работа, нарисованная специально для изготовления визионерского флуоресцентного полотна. Я специально выбрал образ Богини Творчества и Знаний для старта Сего Пути. Именно поэтому Она встречает Вас первой. <br><br> Приятный на ощупь синтетический шелк, легкий и прочный материал. Активно светится в ультрафиолете, неоне и при RGB-свете. Высокое качество детализации. Чёткий рисунок с насыщенными цветами отлично смотрится и днём. Принт и материал выдерживают любые стирки и выставки open air. Без запаха, безопасно даже для спальни — можно вешать как внтури помещения, так и на открытом воздухе.",от 1990,в наличии L(2.3x1.5) 2 шт в CHUVASHIA; в наличии M(1.5x1) 1 шт в MOSCOW; в наличии S(110x75) 1 шт в CHUVASHIA и 1 шт в MOSCOW; в наличии XS(75x50) 1 шт в CHUVASHIA и 1 шт в SAINT PITER.,"Флуоресцентное полотно ""Сарасвати."" — ANAHART","Флуоресцентное полотно с изображением богини Сарасвати - это первая моя работа, нарисованная специально для изготовления визионерского флуоресцентного полотна. Светится в ультрафиолете. Идеально для декора, фестивалей и интерьеров.","air, open, rgb, Сарасвати, активно, без, безопасно, богини, вас, вешать, визионерского, внтури, воздухе, встречает, выбрал, выдерживают, высокое, выставки, даже, детализации, для, днём, запаха, знаний, изготовления, изображением, именно, как, качеств"
SHRI YANTRA,Индийская коллекция. Шри Янтра.,"Шри Янтра. Светится в ультрафиолете. Магическая схема мира. Поистине Сакральная Геометрия. <br><br> Приятный на ощупь синтетический шелк, легкий и прочный материал. Активно светится в ультрафиолете, неоне и при RGB-свете. Высокое качество детализации. Чёткий рисунок с насыщенными цветами отлично смотрится и днём. Принт и материал выдерживают любые стирки и выставки open air. Без запаха, безопасно даже для спальни — можно вешать как внтури помещения, так и на открытом воздухе.",3450,в наличии M(1x1) 1 шт в CHUVASHIA.,"Флуоресцентное полотно ""Шри Янтра."" — ANAHART","Шри Янтра. Светится в ультрафиолете. Идеально для декора, фестивалей и интерьеров.","air, open, rgb, Шри, Янтра, активно, без, безопасно, вешать, внтури, воздухе, выдерживают, высокое, выставки, геометрия, даже, детализации, для, днём, запаха, как, качество, легкий, любые, магическая, материал, мира, можно, насыщенными, неоне, открыт"
GANESHA,Индийская коллекция. Ганеша.,"Ганеша. Бог Мудрости и устранитель препятствий. Сын Шивы и Парвати. Мудрость, которую призывают перед началом любого дела и действия.<br><br> Приятный на ощупь синтетический шелк, легкий и прочный материал. Активно светится в ультрафиолете, неоне и при RGB-свете. Высокое качество детализации. Чёткий рисунок с насыщенными цветами отлично смотрится и днём. Принт и материал выдерживают любые стирки и выставки open air. Без запаха, безопасно даже для спальни — можно вешать как внтури помещения, так и на открытом воздухе.",от 3990,в наличии L(2.3x1.5) 1 шт в CHUVASHIA; в наличии M(1.5x1) 1 шт в CHUVASHIA; в наличии S(110x75) 1 шт в MOSCOW.,"Флуоресцентное полотно ""Ганеша."" — ANAHART","Ганеша. Светится в ультрафиолете. Идеально для декора, фестивалей и интерьеров.","air, open, rgb, Ганеша, активно, без, безопасно, бог, вешать, внтури, воздухе, выдерживают, высокое, выставки, ганеша, даже, действия, дела, детализации, для, днём, запаха, как, качество, которую, легкий, любого, любые, материал, можно, мудрости, муд"
DURGA,Индийская коллекция. Дурга.,"Дурга. Олицетворение Всех Сил этого Творения. Само проявление материального мира реализовано именно Матерью Дургой в индуистском пантеоне.<br><br> Приятный на ощупь синтетический шелк, легкий и прочный материал. Активно светится в ультрафиолете, неоне и при RGB-свете. Высокое качество детализации. Чёткий рисунок с насыщенными цветами отлично смотрится и днём. Принт и материал выдерживают любые стирки и выставки open air. Без запаха, безопасно даже для спальни — можно вешать как внтури помещения, так и на открытом воздухе.",3990,в наличии S(110x75) 1 шт в CHUVASHIA.,"Флуоресцентное полотно ""Дурга."" — ANAHART","Дурга. Светится в ультрафиолете. Идеально для декора, фестивалей и интерьеров.","air, open, rgb, Дурга, активно, без, безопасно, вешать, внтури, воздухе, всех, выдерживают, высокое, выставки, даже, детализации, для, днём, дурга, дургой, запаха, именно, индуистском, как, качество, легкий, любые, материал, материального, матерью, м"
HANUMAN,Индийская коллекция. Хануман.,"Хануман. Олицетворение Дружбы и Верности. Преданности и Отваги. <br><br> Полотно изготовлено из приятного на ощупь синтетического шелка. Легкий и прочный материал. Активно светится в ультрафиолете, неоне и при RGB-свете. Высокое качество детализации. Чёткий рисунок с насыщенными цветами отлично смотрится и днём. Принт и материал выдерживают любые стирки и выставки open air. Без запаха, безопасно даже для спальни — можно вешать как внтури помещения, так и на открытом воздухе.",от 1990,в наличии L(2.3x1.5) 1 шт в CHUVASHIA; в наличии M(1.5x1) 1 шт в MOSCOW; в наличии S(110x75) 2 шт в CHUVASHIA; в наличии XS(75x50) 3 шт в CHUVASHIA и 1 шт в SAINT PITER и 1 шт в MOSCOW.,"Флуоресцентное полотно ""Хануман."" — ANAHART","Хануман. Светится в ультрафиолете. Идеально для декора, фестивалей и интерьеров.","air, open, rgb, Хануман, активно, без, безопасно, верности, вешать, внтури, воздухе, выдерживают, высокое, выставки, даже, детализации, для, днём, дружбы, запаха, изготовлено, как, качество, легкий, любые, материал, можно, насыщенными, неоне, олицетв"
NRISIMHA,Индийская коллекция. Нрисимха Дев.,"Нарисимха Дев. Одно из воплощений Вишну на Земле , как защитника праведных и верующих в Бога людей от любого рода негативного влияния. <br><br> Полотно изготовлено из приятного на ощупь синтетического шелка. Легкий и прочный материал. Активно светится в ультрафиолете, неоне и при RGB-свете. Высокое качество детализации. Чёткий рисунок с насыщенными цветами отлично смотрится и днём. Принт и материал выдерживают любые стирки и выставки open air. Без запаха, безопасно даже для спальни — можно вешать как внтури помещения, так и на открытом воздухе.",от 1990,в наличии L(2.3x1.5) 1 шт в CHUVASHIA; в наличии M(1.5x1) 1 шт в MOSCOW; в наличии S(110x75) 1 шт в CHUVASHIA и 1 шт в MOSCOW; в наличии XS(75x50) 2 шт в CHUVASHIA и 1 шт в SAINT PITER и 1 шт в MOSCOW.,"Флуоресцентное полотно ""Нрисимха Дев."" — ANAHART","Нарисимха Дев. Светится в ультрафиолете. Идеально для декора, фестивалей и интерьеров.","air, open, rgb, Дев, Нрисимха, активно, без, безопасно, бога, верующих, вешать, вишну, влияния, внтури, воздухе, воплощений, выдерживают, высокое, выставки, даже, дев, детализации, для, днём, запаха, защитника, земле, изготовлено, как, качество, легк"
BUDDHA,Индийская коллекция. Будда.,"Будда. Аватара Бога Вседержителя на планете, как Учителя, дающего рабочие практики для Пробуждения, Просветления и Спасения душ на планете  помощью собственного Тела, Разума и Сознания. <br><br> Полотно изготовлено из приятного на ощупь синтетического шелка. Легкий и прочный материал. Активно светится в ультрафиолете, неоне и при RGB-свете. Высокое качество детализации. Чёткий рисунок с насыщенными цветами отлично смотрится и днём. Принт и материал выдерживают любые стирки и выставки open air. Без запаха, безопасно даже для спальни — можно вешать как внтури помещения, так и на открытом воздухе.",от 1990,в наличии L(2.3x1.5) 1 шт в CHUVASHIA; в наличии M(1.5x1) 1 шт в MOSCOW; в наличии S(110x75) 1 шт в SAINT PITER и 1 шт в MOSCOW; в наличии XS(75x50) 1 шт в CHUVASHIA и 1 шт в MOSCOW.,"Флуоресцентное полотно ""Будда."" — ANAHART","Будда. Светится в ультрафиолете. Идеально для декора, фестивалей и интерьеров.","air, open, rgb, Будда, аватара, активно, без, безопасно, бога, будда, вешать, внтури, воздухе, вседержителя, выдерживают, высокое, выставки, даже, дающего, детализации, для, днём, душ, запаха, изготовлено, как, качество, легкий, любые, материал, можн"
SHIVA AND SHAKTI,Индийская коллекция. Шива и Шакти.,"Шива и Шакти. Дух и Материя. Грубая природа, целиком состоящая из тонкого Сознания. Именно эту идею отображает данная композиция. Если присотреться к деревьям и травам, то мы увиди, что они полностью состоят из букв, слов, мантр и литературных символов.<br><br> Полотно изготовлено из приятного на ощупь синтетического шелка. Легкий и прочный материал. Активно светится в ультрафиолете, неоне и при RGB-свете. Высокое качество детализации. Чёткий рисунок с насыщенными цветами отлично смотрится и днём. Принт и материал выдерживают любые стирки и выставки open air. Без запаха, безопасно даже для спальни — можно вешать как внтури помещения, так и на открытом воздухе.",от 1990,в наличии M(1.5x1) 1 шт в MOSCOW; в наличии XS(75x50) 1 шт в CHUVASHIA и 1 шт в SAINT PITER и 1 шт в MOSCOW.,"Флуоресцентное полотно ""Шива и Шакти."" — ANAHART","Шива и Шакти. Светится в ультрафиолете. Идеально для декора, фестивалей и интерьеров.","air, open, rgb, Шакти, Шива, активно, без, безопасно, букв, вешать, внтури, воздухе, выдерживают, высокое, выставки, грубая, даже, данная, деревьям, детализации, для, днём, дух, если, запаха, идею, изготовлено, именно, как, качество, композиция, легк"
BOOM SHIVA,Бом Шива.,"Бом Шива. Композиция из свежести природы, буйства ее красок, перелива росы, и красот лесов всей Земли, от Северных до Южных. От Пустоты до Изобилия. Все прекрасно и динамично. <br><br> Полотно изготовлено из приятного на ощупь синтетического шелка. Легкий и прочный материал. Активно светится в ультрафиолете, неоне и при RGB-свете. Высокое качество детализации. Чёткий рисунок с насыщенными цветами отлично смотрится и днём. Принт и материал выдерживают любые стирки и выставки open air. Без запаха, безопасно даже для спальни — можно вешать как внтури помещения, так и на открытом воздухе.",от 1990,в наличии L(2.3x1.5) 1 шт в MOSCOW; в наличии S(110x75) 2 шт в CHUVASHIA; в наличии XS(75x50) 2 шт в MOSCOW.,"Флуоресцентное полотно ""Бом Шива."" — ANAHART","Бом Шива. Светится в ультрафиолете. Идеально для декора, фестивалей и интерьеров.","air, open, rgb, Бом, Шива, активно, без, безопасно, бом, буйства, вешать, внтури, воздухе, все, всей, выдерживают, высокое, выставки, даже, детализации, динамично, для, днём, запаха, земли, изготовлено, изобилия, как, качество, композиция, красок, кр"
THAI CHILL,Тайский Чилл.,"Тайский чилл это не только релакс на пляже. В Тайланде вы непременно на каждом шагу и перекресте, возле каждого дома и отеля, всегда-всегда будете сталкиваться с буддист ской традицией тхеравада. И что-нибудь да непременно о ней узнаете. Возможно вы не просветлеете мгновенно, но впечатления об этом точно останутся на всю жизнь. Такие впечатления я отобразил в данной композиции после первого посещения этого удивительного сакрального королевства.<br><br> Полотно изготовлено из приятного на ощупь синтетического шелка. Легкий и прочный материал. Активно светится в ультрафиолете, неоне и при RGB-свете. Высокое качество детализации. Чёткий рисунок с насыщенными цветами отлично смотрится и днём. Принт и материал выдерживают любые стирки и выставки open air. Без запаха, безопасно даже для спальни — можно вешать как внтури помещения, так и на открытом воздухе.",от 1990,в наличии L(2.3x1.5) 1 шт в CHUVASHIA; в наличии M(1.5x1) 1 шт в CHUVASHIA; в наличии XS(75x50) 2 шт в CHUVASHIA.,"Флуоресцентное полотно ""Тайский Чилл."" — ANAHART","Тайский чилл это не только релакс на пляже. Светится в ультрафиолете. Идеально для декора, фестивалей и интерьеров.","air, open, rgb, Тайский, Чилл, активно, без, безопасно, буддист, будете, вешать, внтури, воздухе, возле, возможно, впечатления, всегда, всю, выдерживают, высокое, выставки, даже, данной, детализации, для, днём, дома, жизнь, запаха, изготовлено, каждо"
