Name,Title,Description,Stock,SEO Title,SEO Description,SEO Keywords,SEO_url
LIBERTY CAP,Шляпа Свободы.,"""Шляпа Свободы"" — это флуоресцентное полотно, где неоновые оттенки танцуют в безмятежном вихре, вызывая ощущение лёгкости и праздника. Ультрафиолетовое свечение придаёт глубину, а динамичные формы захватывают внимание, наполняя пространство энергией и вдохновением.","☀️4.5x3 (XXL) - 1 на складе за 30000
☀️110x75 (S) - 1 на складе за 3990
☀️75x50 (XS) - 1 в BoogieShop, Санкт-Петербург за 1990","Шляпа Свободы: картина, соединяющая мечты и реальность","Откройте для себя картину 'Шляпа Свободы', наполненную энергией и яркими цветами. Исследуйте уникальность и динамику этого произведения.","Шляпа Свободы, картина, мечты, реальность, синтетический шелк, яркие цвета, двустороннее исполнение, индивидуальность, визуальный эффект",liberty-cap
OWLS GORIZONT,Совы Горизонтальные.,"Флуоресцентное полотно «Совы Горизонтальные» — это магия ночного мира, где яркие неоновые оттенки создают ощущение полета. Каждая сова словно улетает в тайны, их глаза искрятся, маня вглубь. Синтетический шелк под ультрафиолетом превращает фон в радугу, наполняя пространство волшебством и динамикой.","☀️110x75 (S) - 1 в BoogieShop, Санкт-Петербург за 3990
☀️75x50 (XS) - 2 на складе за 1990
☀️75x50 (XS) - 1 в Москве, Crazy Bong за 1990",Совы горизонтальные: мистическая картина с яркими цветами,"Картина «Совы Горизонтальные» сочетает мистику и яркость, создавая атмосферу волшебства. Откройте для себя уникальное произведение искусства.","совы, картина, мистика, яркие цвета, композиция, искусство, интерьер, волшебство, загадка",owls-gorizont
VERTICAL OWLS,Вертикальные Совы.,"""Совы Вертикальные"" — это флуоресцентное полотно, где каждая сова, словно страж ночных тайн, светится яркими цветами. Вертикальная композиция создает ощущение полета, а нежные оттенки переплетаются с неоновыми акцентами, наполняя пространство энергией. Ультрафиолетовое свечение придаёт работе магический шарм, приглашая вас в мир, где каждая деталь говорит о мудрости и вдохновении.","☀️4.5x3 (XXL) - 1 на складе за 30000
☀️2.3x1.5 (L) - 1 на складе за 9990
☀️2.3x1.5 (L) - 1 в Москве, Crazy Bong за 9990
☀️110x75 (S) - 1 в BoogieShop, Санкт-Петербург за 3990
☀️75x50 (XS) - 4 на складе за 1990
☀️75x50 (XS) - 1 в Москве, Crazy Bong за 1990",Картина Сов Вертикальные: яркие цвета и уникальная композиция,Картина 'Совы Вертикальные' удивляет вертикальной композицией и яркими цветами. Откройте для себя магию и оригинальность этого произведения.,"картина, совы, вертикальная композиция, яркие цвета, синтетический шелк, ультрафиолетовое свечение, авторская работа, интерьер",vertical-owls
DREAMCATCHERS,Совы Ловцы Снов.,"Полотно «Совиный эскиз» окутывает магией: совы, словно хранители лесных тайн, светятся в неоновых оттенках, создавая атмосферу волшебства. Динамика линий и форм уводит в мир, где реальность танцует с фантазией.","☀️4.5x3 (XXL) - 1 на складе за 30000
☀️110x75 (S) - 1 на складе за 3990
☀️110x75 (S) - 1 в BoogieShop, Санкт-Петербург за 3990
☀️110x75 (S) - 1 в Москве, Crazy Bong за 3990
☀️75x50 (XS) - 2 на складе за 1990",Совиный эскиз: мир мудрости и тайны в ярких цветах,"Откройте для себя картину «Совиный эскиз», где совы символизируют мудрость. Погружение в волшебный мир искусства и деталей.","сова, мудрость, тайна, яркие цвета, искусство, композиция, волшебство, интерьер, детали, энергия",dreamcatchers
FENIX,Сказочный Феникс.,"На флуоресцентном полотне Птица Феникс сияет, как молния в ночи. Синий и огненно-красный танцуют в контрасте, создавая волшебный эффект. Эфемерные линии дарят ощущение свободы, а текстура синтетического шелка усиливает глубину. Под ультрафиолетом картина оживает, наполняя пространство магией и вдохновением.","☀️2.3x1.5 (L) - 1 на складе за 9990
☀️1.5x1 (M) - 1 в Москве, Crazy Bong за 5990
☀️110x75 (S) - 1 на складе за 3990
☀️110x75 (S) - 1 в BoogieShop, Санкт-Петербург за 3990
☀️110x75 (S) - 1 в Москве, Crazy Bong за 3990
☀️75x50 (XS) - 2 на складе за 1990",Птица Феникс на флуоресцентном полотне - надежда и возрождение,Картина с изображением Птицы Феникс в ярких цветах символизирует надежду. Откройте для себя магию и вдохновение в этом произведении искусства.,"Птица Феникс, флуоресцентное полотно, надежда, возрождение, искусство, яркие цвета, интерьер, вдохновение, ультрафиолет, текстура",fenix
DRAGON TALES,Сказки Драконов.,"Флуоресцентное полотно «Драконьи сказки» – это живое полотно, где неоновый свет оживляет фантазии. Яркие оттенки и сюрреалистичные формы создают магическую динамику, словно драконы парят в невидимом танце. Энергия картины наполняет пространство, превращая его в сказочный уголок.","☀️2.3x1.5 (L) - 1 на складе за 9990
☀️110x75 (S) - 2 на складе за 3990
☀️110x75 (S) - 1 в BoogieShop, Санкт-Петербург за 3990
☀️110x75 (S) - 1 в Москве, Crazy Bong за 3990
☀️75x50 (XS) - 4 на складе за 1990
☀️75x50 (XS) - 1 в BoogieShop, Санкт-Петербург за 1990",Драконьи сказки: уникальная картина с мифами и поп-культурой,"Яркая картина «Драконьи сказки» сочетает мифы и поп-культуру, создавая волшебную атмосферу в интерьере. Откройте для себя искусство ручной работы.","драконьи сказки, картина, мифы, поп-культура, яркие цвета, искусство, ручная работа, интерьер, волшебство, загадка",dragon-tales
DARK FOR REST,Тёмный Лес.,"Флуоресцентное полотно открывает портал в загадочный лес, где каждое дерево шепчет свои тайны. Под ультрафиолетом синтетический шелк пульсирует, излучая яркое свечение, обрамляющее глубокие зелёные и синие оттенки. Композиция, словно дыхание природы, манит и уносит в бесконечные просторы, а световые акценты создают ощущение живого движения, погружая в волшебство. Это произведение искусства — ваш ключ к миру, где реальность и фантазия переплетаются, побуждая исследовать неизведанное.","☀️1.5x1 (M) - 1 в Москве, Crazy Bong за 5990
☀️110x75 (S) - 1 на складе за 3990
☀️110x75 (S) - 1 в BoogieShop, Санкт-Петербург за 3990
☀️75x50 (XS) - 5 на складе за 1990",Темный лес в ультрафиолетовом свете: уникальная картина,Картина с темным лесом и ультрафиолетовым сиянием создает атмосферу умиротворения и вдохновения. Откройте для себя это произведение искусства.,"темный лес, ультрафиолет, картина, искусство, спокойствие, вдохновение, ручная работа, интерьер",dark-for-rest
TEA MASTER,Чайный Мастер.,"Флуоресцентное полотно «Чайная Церемония» — это симфония цветов, где глубокий синий взывает к мудрости, а розовые акценты дарят мечты. При ультрафиолетовом свете картина оживает, излучая магическое сияние, которое ведет зрителя в мир восточной гармонии и современного вдохновения.","☀️4.5x3 (XXL) - 2 на складе за 30000
☀️1.5x1 (M) - 1 в BoogieShop, Санкт-Петербург за 5990
☀️110x75 (S) - 1 на складе за 3990
☀️110x75 (S) - 1 в BoogieShop, Санкт-Петербург за 3990
☀️75x50 (XS) - 4 на складе за 1990
☀️75x50 (XS) - 1 в BoogieShop, Санкт-Петербург за 1990",Чайная Церемония: восточные традиции и современный стиль,"Флуоресцентное полотно «Чайная Церемония» сочетает восточные традиции и современные технологии, создавая уникальную атмосферу уюта.","чайная церемония, флуоресцентное полотно, восточные традиции, современный стиль, синтетический шелк, интерьер, эстетика, уют",tea-master
ALCHEMY,Трилогия Алхимия. Полная версия.,"Флуоресцентное полотно ""Трилогия Алхимия"" — это вихрь эмоций и красок, где яркие лимонные и индиговые оттенки соединяются в завораживающий танец. При ультрафиолете оно словно дышит, наполняя пространство загадочным светом. Каждая линия и форма создают динамику, открывая новые миры фантазии. Это не просто картина — это приглашение в мир вдохновения.","☀️1.5x1 (M) - 1 на складе за 5990
☀️110x75 (S) - 1 в BoogieShop, Санкт-Петербург за 3990
☀️75x50 (XS) - 2 на складе за 1990",Трилогия Алхимия: уникальная картина для вашего интерьера,"Картина 'Трилогия Алхимия' привлекает яркими цветами и динамичной композицией, добавляя волшебство в любое пространство.","Трилогия Алхимия, картина, интерьер, уникальность, яркие цвета, динамика, ручная работа, авторская идея, волшебство",alchemy
FIRE,Трилогия. Дух Огня. Часть первая.,"Флуоресцентное полотно ""Трилогия. Дух Огня"" погружает в мир ярких контрастов, где монах в размышлениях кажется живым огнем. Ультрафиолетовые оттенки раскрывают скрытые эмоции, вызывая стремление к самопознанию.","☀️3x3 (XXL) - 1 на складе за 25000
☀️2.5x2.5 (XL) - 1 на складе за 16000
☀️1.5x1.5 (L) - 1 на складе за 6450
☀️75x75 (S) - 1 на складе за 3450
☀️50x50 (XS) - 5 на складе за 1990",Трилогия. Дух Огня: картина с монахом у пылающего огня,"Картина 'Трилогия. Дух Огня' передает атмосферу тепла и уюта, создавая гармонию в интерьере. Откройте для себя её глубокую энергетику.","Трилогия, Дух Огня, монах, огонь, картина, искусство, интерьер, гармония, ручная работа, атмосфера",fire
